"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
42144,1,2,1,1,1,1,2,2,2,5,1.16,1,2,1
42145,1,1,2,2,2,2,2,1,2,9,2.42,3,,
42146,1,2,2,2,2,2,9,2,2,,,,,
42147,2,2,2,2,2,2,2,2,2,2,0.61,1,2,1
42148,1,1,2,1,2,2,2,1,2,77,,1,1,
42149,1,2,2,2,2,2,2,1,2,12,4.97,3,,
42150,1,2,2,2,2,2,2,1,2,10,2.98,3,,
42151,1,1,2,2,2,2,2,2,2,8,2.73,3,,
42152,2,2,1,2,2,1,1,2,2,77,,7,2,1
42153,1,2,2,2,2,2,2,2,2,2,0.14,1,2,99
42154,2,2,1,2,1,2,2,2,2,6,1.89,3,1,
42155,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1
42156,1,2,2,2,2,2,2,2,2,3,0.48,1,2,1
42157,1,1,1,2,2,2,2,1,2,11,5,3,,
42158,1,2,1,2,2,2,2,2,2,6,1.47,2,2,2
42159,1,2,2,2,2,2,2,1,2,9,2.42,3,,
42160,1,1,2,2,2,2,2,2,2,99,,1,2,77
42161,2,2,1,2,1,2,2,2,2,2,0.82,1,2,1
42162,1,2,2,2,2,2,2,2,2,7,1.45,2,2,1
42163,1,2,1,2,2,2,2,2,2,7,1.35,2,2,1
42164,2,2,2,2,2,2,2,2,1,4,1.76,2,2,1
42165,2,2,1,2,2,1,2,2,2,2,0.76,1,2,1
42166,1,2,1,2,1,2,2,1,2,6,1.24,1,,
42167,2,2,1,1,2,2,2,1,2,12,5,3,,
42168,2,2,2,2,2,2,2,2,2,5,1.46,2,2,1
42169,1,2,2,2,2,2,2,2,2,6,1.06,1,1,
42170,2,2,1,2,2,2,2,2,2,4,1.25,1,1,
42171,1,2,2,2,2,2,2,2,2,7,1.7,2,,
42172,2,2,1,2,1,2,2,1,2,7,3.81,3,,
42173,1,2,2,2,2,2,2,2,2,12,5,3,,
42174,1,2,2,2,2,1,1,2,1,3,0.4,1,2,1
42175,1,2,2,2,2,2,2,1,2,9,4.54,3,,
42176,1,2,1,2,2,2,2,2,1,5,0.99,1,2,1
42177,1,1,2,2,2,2,2,2,2,11,4.77,3,,
42178,1,2,2,2,2,2,2,2,2,7,1.79,2,,
42179,1,2,2,2,2,2,2,2,1,5,1.05,1,2,1
42180,1,2,1,2,1,2,2,1,2,8,3.86,3,,
42181,1,2,1,2,2,2,2,2,2,99,,9,7,
42182,1,2,2,2,2,2,2,2,2,4,0.7,1,,
42183,1,2,1,2,1,2,2,1,2,8,3.86,3,,
42184,1,2,2,2,2,2,2,2,2,8,2.03,3,,
42185,2,2,1,1,1,1,2,1,2,5,2.23,3,,
42186,1,2,2,2,2,2,1,2,2,2,0.29,1,2,1
42187,2,2,2,2,1,2,2,2,2,1,0.35,1,,
42188,1,2,2,2,2,2,2,2,2,6,1.42,2,2,1
42189,1,2,2,2,2,2,2,2,2,4,0.75,1,2,1
42190,1,2,1,2,1,2,2,2,2,99,,1,2,2
42191,2,2,2,2,2,2,1,2,2,2,0.38,1,2,1
42192,1,2,2,2,2,2,2,2,2,6,1.7,2,,
42193,1,2,1,1,2,2,2,1,1,11,5,3,,
42194,1,2,2,2,2,2,2,2,2,5,1.26,1,2,1
42195,7,2,2,2,2,2,2,1,2,,,,,
42196,1,2,2,2,2,2,2,1,2,6,1.35,2,,
42197,2,2,1,2,2,2,2,2,2,6,2.19,3,,
42198,1,2,2,2,2,2,2,2,2,7,2.03,3,,
42199,1,2,2,2,2,2,2,2,2,1,0.4,1,2,1
42200,2,1,2,2,1,2,2,1,2,6,2.06,3,1,
42201,1,1,1,2,2,2,2,2,2,77,,3,2,1
42202,1,2,2,2,2,2,2,1,2,3,0.88,1,,
