"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD421","FSD431","FSD411","FSD440","FSD451","FSQ165","FSQ171","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
51790,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51791,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51792,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,,,,,,,2,,,,2,,,,,,,,,,
51793,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51794,1,1,2,1,1,2,2,2,2,,2,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,,,1,1,8,250,2,,,,,,,,,,
51795,2,2,2,1,2,1,2,1,2,,2,3,3,2,2,,2,2,4,4,2,2,2,3,3,3,2,2,1,1,11,436,2,,,,,,,,,,
51796,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51797,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
51798,2,3,3,2,,2,2,2,,,1,2,3,2,2,,2,2,3,2,3,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51799,2,1,3,1,2,2,2,2,2,,2,3,2,2,2,,2,2,3,3,3,2,2,3,2,3,2,2,1,1,32,77777,1,,,,,,,,,,
51800,3,3,3,,,,,,,,2,3,3,2,2,,2,2,2,1,2,2,3,3,3,3,,,1,1,13,598,1,1,1,1,1,12,2,,,,
51801,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51802,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,1,2,,,1,1,1,1,1,24,1,1,,,
51803,1,1,1,1,2,1,1,2,2,,,,,,,,,,4,4,,1,3,3,3,3,2,,1,1,12,253,,,,,,,,,,,
51804,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51805,2,2,1,2,,2,2,2,,,,,,,,,,,3,3,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51806,3,3,1,1,2,1,2,2,2,,,,,,,,,,3,3,,2,3,3,3,3,2,,1,1,27,14,,,,,,,,,,,
51807,2,2,2,2,,2,2,2,,,2,2,2,2,2,,2,2,3,3,3,2,9,9,9,9,9,,2,,,,2,,,,,,,,,,
51808,2,2,2,1,2,1,2,2,2,,3,3,3,,,,,,3,4,1,1,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51809,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,2,,
51810,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,2,,,,
51811,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,9,1200,1,1,2,1,1,60,1,1,,,
51812,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51813,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,2,,,,
51814,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,20,480,2,,,,,,,,,,
51815,3,3,3,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,45,90,1,,,,,,,,,,
51816,2,2,2,2,,2,2,2,,,,,,,,,,,3,3,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51817,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51818,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51819,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51820,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51821,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,1,2,,,,,,,,,,,,,
51822,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
