"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
10183,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10184,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10185,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
10186,2,4,1,12,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1
10187,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10188,1,,,,,,,,,,,,1,2,2,2,,2,1,1,4,,,,2,2,1
10189,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10190,1,,,,,,,,,,,,,,,,,,1,1,2,,,,3,3,3
10191,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10192,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10193,2,4,1,12,1,,,,,,,,,,,,,,,,,,,,3,2,2
10194,1,5,1,6,1,,,,,,,,,,,,,,1,1,2,,,,1,1,1
10195,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10196,1,,,,,,,,,,,,2,2,2,2,,2,1,1,2,,,,3,2,2
10197,1,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10198,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10199,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10200,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10201,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10202,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
10203,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10204,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10205,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10206,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10207,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10208,1,,,,,,,,,,,,,,,,,,,,,,,,4,4,3
10209,1,,,,,,,,,,,,2,2,2,2,,2,1,1,,,,,3,3,2
10210,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10211,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10212,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10213,2,1,2,,,,,,,,,,2,2,2,2,,2,2,,,,,,2,2,1
10214,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10215,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10216,,,,,,,,,,,,,,,,,,,,,,,,,,,
10217,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10218,1,3,1,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1
10219,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10220,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,
10221,1,1,2,,,,,,,,,,,,,,,,,,,,,,3,3,3
10222,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10223,1,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,1
10224,2,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
10225,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10226,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10227,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
10228,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,1
10229,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10230,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10231,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10232,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10233,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
